"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000103506",35,51,50,28,32,27
"ENSMUSG00000103495",11,51,18,22,10,9
"ENSMUSG00000099183",1,2,2,0,0,1
"ENSMUSG00000102639",2,6,3,4,3,4
"ENSMUSG00000104170",8,12,8,15,6,6
"ENSMUSG00000087782",0,0,1,0,0,1
"ENSMUSG00000103085",41,48,35,43,24,52
"ENSMUSG00000102664",16,29,31,11,21,25
"ENSMUSG00000101476",2,1,0,3,0,0
"ENSMUSG00000101171",0,0,0,0,1,0
"ENSMUSG00000025935",14232,8106,7655,7708,7324,5394
"ENSMUSG00000025937",13794,10223,5782,6035,3170,2477
"ENSMUSG00000102982",89,180,121,100,61,78
"ENSMUSG00000067813",24,36,8,8,0,3
"ENSMUSG00000097711",27,18,19,6,12,7
"ENSMUSG00000102166",8,6,2,0,0,0
"ENSMUSG00000104209",0,2,0,0,0,0
"ENSMUSG00000025932",3498,2641,669,800,28,36
"ENSMUSG00000095853",3,10,0,3,0,0
"ENSMUSG00000102588",4,18,0,0,0,0
"ENSMUSG00000054493",39,57,49,41,2,0
"ENSMUSG00000025930",628,621,1270,988,58,18
"ENSMUSG00000103492",2,23,7,10,4,2
"ENSMUSG00000081201",2,0,0,2,1,3
"ENSMUSG00000082193",27,26,6,17,24,18
"ENSMUSG00000032769",382,280,401,299,78,47
"ENSMUSG00000073737",20,22,7,5,6,9
"ENSMUSG00000092083",12,8,0,0,2,6
"ENSMUSG00000104149",0,0,2,4,0,0
"ENSMUSG00000101652",1,0,1,5,1,0
"ENSMUSG00000100814",1,0,0,0,0,0
"ENSMUSG00000025925",11201,8949,9565,9066,7558,5999
"ENSMUSG00000104379",34,161,96,93,45,65
"ENSMUSG00000032719",17,78,15,26,3,10
"ENSMUSG00000100652",14,4,4,0,8,6
"ENSMUSG00000067795",0,10,4,0,6,1
"ENSMUSG00000043716",165863,104939,96231,98073,110203,82628
"ENSMUSG00000025921",384,385,346,333,465,370
"ENSMUSG00000100868",0,2,0,0,0,0
"ENSMUSG00000025920",741,453,429,359,317,273
"ENSMUSG00000089982",2,0,1,2,0,0
"ENSMUSG00000025939",2205,1251,1067,1109,1092,814
"ENSMUSG00000102457",42,74,107,37,25,12
"ENSMUSG00000079658",4963,3878,6217,6470,7455,5930
"ENSMUSG00000097744",0,0,4,6,3,0
"ENSMUSG00000025940",1778,1245,1232,1397,1451,1242
"ENSMUSG00000025779",40,44,45,13,21,47
"ENSMUSG00000091020",144,112,128,116,128,78
"ENSMUSG00000101640",0,0,0,0,0,1
"ENSMUSG00000104133",0,2,0,0,2,0
"ENSMUSG00000042686",188,219,367,388,1885,1692
"ENSMUSG00000100110",0,0,3,0,1,0
"ENSMUSG00000025777",4,8,0,10,4,8
"ENSMUSG00000100272",0,2,0,0,0,0
"ENSMUSG00000100398",48,37,91,67,40,28
"ENSMUSG00000101589",52,36,25,39,20,18
"ENSMUSG00000102048",12,15,0,4,2,0
