"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-140-5p ",6694.66666666667,5716.16666666667,7118.66666666667,2426.5,13590.5,12718.3333333333
"hsa-miR-141-3p ",99.3333333333333,93.3333333333333,92,93.6666666666667,91.5833333333333,100.166666666667
"hsa-miR-142-3p ",100.583333333333,106.166666666667,97.3333333333333,126.75,109.333333333333,303
"hsa-miR-142-5p ",94.1666666666667,94.1666666666667,90,95.75,91.5833333333333,118.833333333333
"hsa-miR-143-3p ",119978.5,133158.166666667,100028.666666667,45579.6666666667,6694.66666666667,88611.3333333333
"hsa-miR-143-5p ",2548,3264.33333333333,2149.33333333333,2149.33333333333,232.666666666667,2348.16666666667
"hsa-miR-145-3p ",2149.33333333333,2434.5,1963.5,885.333333333333,309.5,1963.5
"hsa-miR-145-5p ",13055.8333333333,11559.1666666667,11559.1666666667,6922.83333333333,956.5,6434.66666666667
"hsa-miR-146a-3p ",102.666666666667,98.5,94.3333333333333,96.6666666666667,89.4166666666667,90.3333333333333
"hsa-miR-146a-5p ",12718.3333333333,13055.8333333333,12718.3333333333,1339.83333333333,1112.16666666667,3264.33333333333
"hsa-miR-146b-3p ",137,138.5,123.166666666667,583,242.833333333333,366.333333333333
"hsa-miR-146b-5p ",1669.66666666667,1603,1687.66666666667,4331.16666666667,5529.16666666667,4567.66666666667
"hsa-miR-147b-3p ",105.333333333333,112,101.166666666667,164.833333333333,92.8333333333333,96.6666666666667
"hsa-miR-147b-5p ",104.083333333333,91.1666666666667,95.5,90.3333333333333,96,90
"hsa-miR-148a-3p ",167204,154252,213596.166666667,69027.3333333333,154252,154252
"hsa-miR-148a-5p ",899.666666666667,1123.16666666667,742.166666666667,4006.33333333333,909.166666666667,1870.5
"hsa-miR-148b-3p ",5529.16666666667,5442.83333333333,6922.83333333333,1525.83333333333,7118.66666666667,4723
"hsa-miR-149-5p ",525.333333333333,546,447.166666666667,1123.16666666667,465.333333333333,586.833333333333
"hsa-miR-150-5p ",90.5833333333333,91.1666666666667,90,97.5833333333333,90.25,100.75
