"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000154122",1713,1712,1979,3384,3616,3183
"ENSG00000286970",25,37,24,100,45,52
"ENSG00000249485",16,12,24,85,32,41
"ENSG00000264792",2,1,2,10,4,9
"ENSG00000272057",4,5,1,3,8,2
"ENSG00000249928",0,0,1,6,2,1
"ENSG00000250662",0,0,0,2,0,4
"ENSG00000250247",0,0,0,2,0,0
"ENSG00000249332",1,0,0,1,1,0
"ENSG00000286377",0,1,0,1,0,0
"ENSG00000183580",608,649,626,949,993,614
"ENSG00000250250",80,99,87,170,103,75
"ENSG00000216077",0,0,0,2,1,1
"ENSG00000248150",5,0,3,5,3,5
"ENSG00000173545",997,930,1207,822,1233,990
"ENSG00000154153",1078,1080,1323,1253,2529,826
"ENSG00000246214",16,25,29,102,139,56
"ENSG00000250415",4,1,1,2,6,0
"ENSG00000145555",7236,6745,7110,8426,10060,6649
"ENSG00000253093",7,8,0,9,8,5
"ENSG00000243538",6,6,6,18,5,5
"ENSG00000176788",3096,3000,3430,2929,1991,2327
"ENSG00000215196",28,16,23,41,18,10
"ENSG00000206814",1,0,0,0,0,0
"ENSG00000250816",1,0,1,2,1,3
"ENSG00000252908",9,4,5,9,3,4
"ENSG00000223361",9,8,20,2,5,4
"ENSG00000249199",0,1,0,0,0,0
"ENSG00000250822",0,1,0,0,3,0
"ENSG00000248455",0,0,1,0,0,0
"ENSG00000249662",0,0,0,0,0,1
"ENSG00000249937",46,39,36,66,24,51
"ENSG00000240785",0,3,0,0,1,1
"ENSG00000145526",113,115,140,12,84,46
"ENSG00000214132",0,0,2,4,0,0
"ENSG00000251629",0,1,2,0,0,2
"ENSG00000286751",0,0,0,1,1,0
"ENSG00000249359",2,0,1,0,3,3
"ENSG00000183666",197,258,228,328,266,223
"ENSG00000233974",94,82,61,82,52,55
"ENSG00000279107",4,8,2,1,5,0
"ENSG00000272130",3,4,3,6,6,0
"ENSG00000253766",0,0,0,0,2,0
"ENSG00000154162",0,1,0,1,0,1
"ENSG00000213430",5,10,14,8,5,11
"ENSG00000248874",11,5,2,8,4,22
"ENSG00000252083",0,0,1,0,0,0
"ENSG00000200600",1,0,0,0,1,6
"ENSG00000286134",1,12,7,9,5,20
"ENSG00000226432",2,3,4,2,1,2
"ENSG00000040731",4,0,1,4,0,0
"ENSG00000249562",0,0,0,1,0,0
"ENSG00000251273",0,0,0,0,1,1
"ENSG00000245662",0,5,5,6,14,6
"ENSG00000251593",1,1,0,2,0,1
"ENSG00000250337",56,55,27,150,2,9
"ENSG00000250453",2,0,0,0,0,0
"ENSG00000259786",0,2,0,0,0,0
"ENSG00000162685",1,0,0,0,0,0
"ENSG00000226400",1,0,0,0,0,0
"ENSG00000252601",0,0,1,0,0,0
"ENSG00000248687",0,1,0,0,0,0
"ENSG00000250984",0,1,0,0,0,0
"ENSG00000287940",0,2,0,0,0,0
"ENSG00000113361",2186,1978,1885,213,1336,113
"ENSG00000113360",900,955,772,1496,1042,1214
"ENSG00000206682",2,2,5,15,2,5
"ENSG00000082213",687,609,668,712,640,917
"ENSG00000279923",13,10,22,8,10,13
"ENSG00000133401",138,169,156,267,268,208
"ENSG00000243914",0,0,0,1,1,0
"ENSG00000214108",0,2,3,7,2,2
"ENSG00000249774",0,1,0,0,1,0
"ENSG00000250764",22,20,21,31,12,7
"ENSG00000113384",2764,2623,2765,2413,3472,2678
"ENSG00000200065",0,0,1,1,3,2
"ENSG00000272086",29,16,12,35,32,16
"ENSG00000150712",870,903,938,835,1288,1302
"ENSG00000199731",0,1,2,1,1,1
"ENSG00000056097",5882,5259,5795,5269,6786,6924
"ENSG00000207956",0,5,1,0,3,4
"ENSG00000249142",0,4,0,0,0,0
"ENSG00000113387",2987,2720,2933,2388,3075,3406
"ENSG00000250885",0,0,1,0,0,0
"ENSG00000286741",0,1,0,1,1,0
"ENSG00000113389",14077,12597,13187,8935,3922,6731
"ENSG00000251062",19,24,23,31,32,10
"ENSG00000250697",335,354,237,238,318,271
"ENSG00000248279",53,90,58,104,64,92
"ENSG00000249102",74,94,68,68,49,83
"ENSG00000251281",115,103,78,64,76,101
"ENSG00000240376",11,13,11,4,3,5
"ENSG00000251443",1,1,0,1,1,0
"ENSG00000288579",0,0,0,1,0,3
"ENSG00000249572",12,10,6,7,11,8
"ENSG00000113407",5242,4847,5560,3999,4604,7486
"ENSG00000249360",0,0,0,0,0,3
"ENSG00000151388",320,341,351,101,166,231
"ENSG00000164175",1,4,1,4,2,0
"ENSG00000242110",13,24,16,27,27,16
"ENSG00000273294",1,2,1,9,0,2
"ENSG00000250767",0,1,0,1,2,2
"ENSG00000082196",37,38,21,67,78,48
"ENSG00000278900",11,10,13,17,15,23
"ENSG00000279995",2,5,3,9,6,4
"ENSG00000271771",11,8,6,27,11,16
"ENSG00000215158",156,155,113,244,217,299
"ENSG00000215156",44,61,46,110,76,85
"ENSG00000286543",0,0,1,5,0,1
"ENSG00000271874",0,1,4,4,0,2
"ENSG00000039560",6277,5933,6007,5901,3262,5337
"ENSG00000250234",0,1,2,2,0,3
"ENSG00000272323",8,8,9,11,25,9
"ENSG00000205838",17,28,20,81,21,28
"ENSG00000250140",0,0,0,0,0,1
"ENSG00000241829",3,0,2,5,0,0
"ENSG00000113456",1543,1351,1507,1764,1719,1572
"ENSG00000113460",1189,924,1131,1615,1218,1425
"ENSG00000168724",2147,1894,1927,1999,2077,2120
"ENSG00000113494",84,86,90,48,75,51
"ENSG00000250886",0,1,0,0,1,0
"ENSG00000201368",0,1,0,0,0,0
"ENSG00000152582",747,730,609,521,634,454
"ENSG00000238441",0,4,2,0,6,1
"ENSG00000248969",5,5,3,2,3,1
"ENSG00000168685",5486,5328,5733,157,665,857
"ENSG00000152611",15,14,20,4,6,5
"ENSG00000251591",0,0,0,3,0,0
"ENSG00000164187",2064,1908,1825,1572,1613,1883
"ENSG00000207756",0,2,4,5,2,1
"ENSG00000145604",648,583,700,1052,840,998
"ENSG00000201223",1,2,1,5,2,2
"ENSG00000152620",1402,1382,1348,1386,1479,1575
"ENSG00000245711",54,52,28,81,52,68
"ENSG00000164188",299,244,254,634,243,345
"ENSG00000287634",0,1,0,4,1,1
"ENSG00000079215",181,191,181,886,93,255
"ENSG00000274441",0,2,0,13,2,5
"ENSG00000250155",13,1,5,30,0,10
"ENSG00000279400",18,22,16,139,7,20
"ENSG00000272103",3,6,3,8,14,5
"ENSG00000285967",296,265,282,548,521,535
"ENSG00000164190",3298,3236,2464,4764,3756,4478
"ENSG00000249850",31,50,28,70,34,74
"ENSG00000244073",20,27,18,55,33,18
"ENSG00000197603",2926,2975,2694,4226,3831,3616
"ENSG00000271378",3,4,2,10,10,10
"ENSG00000228212",64,65,35,114,48,86
"ENSG00000242493",7,6,11,14,7,9
"ENSG00000286193",5,1,5,36,19,19
"ENSG00000270558",12,11,17,22,21,21
"ENSG00000113569",1133,1000,1171,1320,1577,1948
"ENSG00000251880",11,10,11,22,15,18
"ENSG00000082068",646,614,711,861,1000,879
"ENSG00000248216",7,5,6,15,7,7
"ENSG00000222743",5,15,5,21,4,6
"ENSG00000206743",1,0,0,5,1,1
"ENSG00000248587",40,40,36,64,31,19
"ENSG00000168621",67,75,61,48,20,31
"ENSG00000248461",0,0,0,0,1,0
"ENSG00000164318",49,29,45,75,44,68
"ENSG00000248572",0,0,4,5,0,1
"ENSG00000249491",0,0,1,0,0,0
"ENSG00000248234",0,0,0,1,0,0
"ENSG00000251257",14,23,27,11,13,16
"ENSG00000113594",2250,2150,1982,2873,2892,3312
"ENSG00000244968",11,11,14,14,29,15
"ENSG00000251189",0,0,0,3,0,1
"ENSG00000249740",55,54,49,126,97,75
"ENSG00000248577",1,3,0,6,0,1
"ENSG00000250629",12,5,2,8,10,5
"ENSG00000145623",6763,6981,6536,9569,7127,6516
"ENSG00000164327",3038,2919,2580,3049,3499,2893
"ENSG00000249089",14,9,14,17,7,9
"ENSG00000286809",0,0,1,1,2,2
"ENSG00000082074",5,7,7,33,127,69
"ENSG00000251215",0,0,0,1,0,0
"ENSG00000113600",51,49,57,43,21,49
"ENSG00000153071",23709,23183,24469,17081,12966,15795
"ENSG00000271334",35,42,33,20,5,25
"ENSG00000251515",3,2,1,2,0,0
"ENSG00000250492",3,4,0,5,0,2
"ENSG00000248651",0,0,0,0,0,1
"ENSG00000250048",11,18,18,19,2,16
"ENSG00000249668",0,0,0,1,0,0
"ENSG00000285616",0,0,0,1,1,1
"ENSG00000113638",760,688,612,555,928,633
"ENSG00000171522",667,572,599,782,205,809
"ENSG00000132356",3971,3657,3649,3666,4603,4012
"ENSG00000212567",14,7,5,25,13,9
"ENSG00000145592",5095,6142,6818,6274,7409,6852
"ENSG00000212296",1,1,2,5,6,7
"ENSG00000132357",699,658,701,1082,1558,1043
"ENSG00000112936",13,12,4,231,158,57
"ENSG00000253098",0,0,0,1,0,0
"ENSG00000248120",0,0,0,0,0,2
"ENSG00000171495",0,0,0,0,1,0
"ENSG00000039537",0,0,1,4,2,1
"ENSG00000182836",26,24,29,29,51,18
"ENSG00000083720",1042,884,1027,1235,1895,2215
"ENSG00000286164",2,4,0,4,6,15
"ENSG00000248668",7,6,10,10,27,20
"ENSG00000205765",1372,1278,1197,1772,1739,1897
"ENSG00000151876",208,183,223,298,325,327
"ENSG00000239694",0,0,1,1,1,0
"ENSG00000249266",2,0,1,3,0,2
"ENSG00000112964",695,629,628,985,600,652
"ENSG00000248873",21,20,29,29,15,11
"ENSG00000250860",27,41,26,47,9,7
"ENSG00000270513",1,4,2,2,0,1
"ENSG00000198865",34,18,27,102,93,48
"ENSG00000250722",1262,1083,1291,2737,3788,1667
"ENSG00000286271",0,5,2,6,8,1
"ENSG00000249092",1,2,2,1,1,2
"ENSG00000251163",1,0,0,1,0,0
"ENSG00000249516",2,1,0,0,0,0
"ENSG00000250711",0,0,1,1,2,1
"ENSG00000287263",161,166,178,168,219,131
"ENSG00000286656",26,23,42,42,51,57
"ENSG00000271788",9,2,6,10,8,14
"ENSG00000177738",145,167,180,212,240,174
"ENSG00000251131",14,10,17,21,27,28
"ENSG00000272382",9,12,11,34,17,9
"ENSG00000177721",24,31,22,68,82,67
"ENSG00000215068",147,165,154,421,418,314
"ENSG00000272144",12,25,17,46,18,31
"ENSG00000172262",1008,917,1002,1075,1360,1430
"ENSG00000278487",1,0,3,3,0,7
"ENSG00000177453",83,75,80,43,117,57
"ENSG00000249779",0,1,2,2,4,0
"ENSG00000249888",0,0,0,3,1,0
"ENSG00000247763",0,1,0,2,0,2
"ENSG00000112972",1047,1054,1055,1018,1263,1403
"ENSG00000188850",0,1,1,2,0,0
"ENSG00000151882",1021,902,951,623,775,435
"ENSG00000151881",677,629,637,586,764,787
"ENSG00000249492",35,45,29,59,41,62
"ENSG00000172244",94,92,59,113,106,197
"ENSG00000249855",54,37,59,61,59,63
"ENSG00000248554",3,1,4,4,5,5
"ENSG00000248240",6,1,2,12,16,3
"ENSG00000172239",2670,2398,2693,2361,3220,3064
"ENSG00000248092",494,461,466,610,695,545
"ENSG00000279557",4,4,6,5,11,3
"ENSG00000249286",4,5,3,5,1,1
"ENSG00000112992",4445,4142,4473,3877,5282,4827
"ENSG00000224993",3,3,5,11,5,7
"ENSG00000249276",1,2,0,7,1,1
"ENSG00000212561",0,0,0,0,1,2
"ENSG00000070193",719,665,673,424,1303,564
"ENSG00000248464",12,18,9,12,10,9
"ENSG00000249203",6,4,7,6,7,5
"ENSG00000251141",142,129,143,211,183,151
"ENSG00000248779",0,2,3,8,0,5
"ENSG00000112996",1105,1098,1152,1519,1764,1660
"ENSG00000272335",135,148,91,273,257,284
"ENSG00000164588",1,0,0,2,0,2
"ENSG00000170571",673,644,656,150,214,330
"ENSG00000271752",0,1,0,0,2,1
"ENSG00000151883",1095,1032,994,854,716,732
"ENSG00000249405",0,4,0,0,0,0
"ENSG00000259663",2,0,0,1,0,0
"ENSG00000248898",11,15,14,12,20,14
"ENSG00000213949",5340,4834,4674,5001,5839,4903
"ENSG00000152684",1377,1297,1483,792,1202,1147
"ENSG00000288539",48,45,23,63,29,52
"ENSG00000251237",1,1,0,3,2,1
"ENSG00000249899",13,34,23,35,32,28
"ENSG00000164171",878,790,881,230,626,545
"ENSG00000286048",6,9,4,0,3,4
"ENSG00000272123",5,6,4,1,6,1
"ENSG00000164172",1235,1046,1291,935,1144,1126
"ENSG00000247796",64,70,78,99,115,89
"ENSG00000285831",8,15,10,2,8,6
"ENSG00000240052",1,0,0,2,0,0
"ENSG00000134363",10372,9346,11015,2959,2838,2526
"ENSG00000164258",661,644,667,453,634,597
"ENSG00000250447",1,0,0,0,0,1
"ENSG00000272416",5,0,1,4,2,0
"ENSG00000185305",211,201,145,346,326,281
"ENSG00000287087",4,10,6,17,13,10
"ENSG00000222960",1,2,3,3,3,2
"ENSG00000207627",0,1,2,10,2,4
"ENSG00000241230",0,3,0,8,0,1
"ENSG00000265421",0,5,3,10,6,0
"ENSG00000279638",7,2,2,9,8,2
"ENSG00000249069",0,1,0,2,0,1
"ENSG00000169271",9,14,15,0,1,0
"ENSG00000178996",3563,3268,3421,3884,3268,3613
"ENSG00000280159",5,1,1,12,7,2
"ENSG00000287367",24,25,24,34,13,29
"ENSG00000232517",96,91,82,24,60,49
"ENSG00000226810",0,0,0,1,0,0
"ENSG00000164283",37,39,38,27,24,26
"ENSG00000240535",4,0,3,7,2,1
"ENSG00000113088",0,0,0,0,0,1
"ENSG00000145649",0,0,0,0,3,0
"ENSG00000164287",0,0,0,2,1,2
"ENSG00000164294",6261,5870,6572,4578,5721,6297
"ENSG00000251856",0,0,0,0,0,1
"ENSG00000234602",0,0,0,7,5,4
"ENSG00000152669",3,9,11,18,16,14
"ENSG00000251307",14,16,6,20,21,20
"ENSG00000067248",2104,1802,2010,1886,2398,2364
"ENSG00000039123",1814,1644,1724,2294,2862,2438
"ENSG00000271410",21,10,17,24,9,26
"ENSG00000067113",1892,1739,2002,2981,7218,2368
"ENSG00000279883",31,25,15,160,75,41
"ENSG00000265135",13,15,21,93,50,29
"ENSG00000250853",42,40,27,193,124,96
"ENSG00000177058",495,547,596,797,789,761
"ENSG00000152670",0,1,0,1,3,0
"ENSG00000248854",0,0,0,1,3,6
"ENSG00000164509",23,22,39,142,363,192
"ENSG00000134352",28009,24502,23970,26119,27118,28424
"ENSG00000264281",4,13,16,25,13,7
"ENSG00000249236",23,21,17,47,28,29
"ENSG00000227908",15,17,12,5,9,8
"ENSG00000238326",2,1,0,1,0,3
"ENSG00000164512",8,12,16,2,0,5
"ENSG00000253032",0,0,0,1,0,1
"ENSG00000243592",0,2,1,0,0,0
"ENSG00000223003",2,0,1,1,0,1
"ENSG00000251435",2,2,1,1,0,4
"ENSG00000248781",1,1,0,0,2,0
"ENSG00000249697",0,0,1,0,0,0
"ENSG00000248727",15,14,8,19,14,11
"ENSG00000285997",0,0,0,1,0,0
"ENSG00000226221",19,23,34,17,21,23
"ENSG00000228650",0,0,0,2,0,0
"ENSG00000095015",711,630,668,512,456,515
"ENSG00000237705",17,21,15,16,6,9
"ENSG00000225230",1,1,0,2,0,5
"ENSG00000155542",58,58,66,82,182,129
"ENSG00000155545",921,914,917,961,1377,1106
"ENSG00000271828",40,27,21,54,45,42
"ENSG00000235635",12,5,9,12,7,3
"ENSG00000207293",0,0,0,0,1,0
"ENSG00000062194",2437,2196,2181,2227,3104,2550
"ENSG00000248586",0,0,0,2,0,0
"ENSG00000250961",6,3,0,5,22,2
"ENSG00000250308",0,0,0,0,0,2
"ENSG00000169067",16,7,5,0,6,2
"ENSG00000287709",0,2,0,0,2,0
"ENSG00000249198",1,0,0,0,0,0
"ENSG00000249584",2,1,0,3,5,1
"ENSG00000248132",1,2,1,0,0,0
"ENSG00000286853",5,0,2,3,0,3
"ENSG00000248271",0,0,1,0,0,0
"ENSG00000145632",6166,5443,6563,4264,10288,7713
"ENSG00000250127",0,2,0,0,0,0
"ENSG00000152932",7,3,0,5,0,0
"ENSG00000113448",1188,1072,1066,1480,1593,1078
"ENSG00000247345",7,4,3,11,10,4
"ENSG00000276214",14,9,6,18,10,5
"ENSG00000251306",12,4,11,14,9,12
"ENSG00000202601",2,2,5,8,1,2
"ENSG00000248935",23,16,11,33,38,34
"ENSG00000202017",6,3,6,8,8,10
"ENSG00000213896",11,8,5,21,14,10
"ENSG00000214244",25,35,17,57,39,42
"ENSG00000152931",295,226,237,437,758,415
"ENSG00000035499",23,24,27,20,38,276
"ENSG00000251303",1,0,0,0,1,8
"ENSG00000287434",0,0,0,0,0,2
"ENSG00000164181",40,45,46,1,8,9
"ENSG00000049167",441,379,386,557,400,525
"ENSG00000215032",5,2,6,1,3,2
"ENSG00000233847",8,10,6,20,11,23
"ENSG00000164182",258,242,291,193,294,393
"ENSG00000279985",15,25,9,37,5,33
"ENSG00000276945",9,3,1,9,10,6
"ENSG00000188725",1281,1180,1247,1089,1596,1575
"ENSG00000251279",3,8,4,3,10,9
"ENSG00000249279",0,0,1,1,0,5
"ENSG00000130449",826,823,819,1185,999,900
"ENSG00000251682",65,63,42,148,76,76
"ENSG00000250461",36,52,35,112,37,84
"ENSG00000213891",12,34,31,89,30,44
"ENSG00000248529",0,2,0,0,0,0
"ENSG00000068796",1214,1179,1075,1452,1311,1688
"ENSG00000086189",379,312,371,326,449,534
"ENSG00000086200",790,651,814,882,959,1238
"ENSG00000199279",1,0,0,0,0,0
"ENSG00000268942",0,3,2,4,1,1
"ENSG00000241991",4,6,2,13,7,11
"ENSG00000240436",5,8,8,13,3,14
"ENSG00000186105",9,8,4,9,8,15
"ENSG00000217416",0,1,4,2,0,0
"ENSG00000164197",225,221,209,350,307,325
"ENSG00000186479",5,10,6,6,2,1
"ENSG00000145642",3,0,0,0,0,0
"ENSG00000153006",1068,918,836,981,1125,994
"ENSG00000153015",322,240,263,597,661,756
"ENSG00000272370",2,7,3,9,10,7
"ENSG00000272354",3,1,0,1,2,1
"ENSG00000049192",902,845,866,579,401,544
"ENSG00000248288",13,9,13,15,4,9
"ENSG00000250732",10,13,2,8,1,4
"ENSG00000205644",7,22,20,22,9,5
"ENSG00000250081",4,0,1,0,1,0
"ENSG00000123219",109,104,108,63,97,482
"ENSG00000113593",997,935,922,1328,1517,1302
"ENSG00000113595",995,860,791,746,1021,807
"ENSG00000207352",3,8,6,4,11,5
"ENSG00000113597",704,621,664,591,615,602
"ENSG00000253251",56,48,32,67,100,84
"ENSG00000197860",2174,1970,1864,1141,1784,1895
"ENSG00000123213",1256,1247,1300,1154,1182,1665
"ENSG00000251648",1,0,4,6,6,3
"ENSG00000269961",4,6,6,15,2,11
"ENSG00000112851",11104,10117,9590,13214,11638,16031
"ENSG00000252904",41,19,20,100,34,58
"ENSG00000286314",58,88,57,237,57,117
"ENSG00000285999",136,169,132,272,149,183
"ENSG00000153914",3509,3134,3076,4400,4923,4906
"ENSG00000253744",13,4,7,10,9,11
"ENSG00000248846",2,2,3,2,3,7
"ENSG00000251391",0,0,3,0,0,0
"ENSG00000286062",4,0,0,2,0,4
"ENSG00000069020",662,742,596,1063,685,689
"ENSG00000248803",0,0,1,0,0,2
"ENSG00000249057",0,1,0,1,0,0
"ENSG00000229666",13,12,8,15,8,4
"ENSG00000134061",3,0,0,3,4,5
"ENSG00000251206",0,0,1,0,0,1
"ENSG00000286647",0,0,0,1,0,0
"ENSG00000249364",12,15,6,21,83,29
"ENSG00000250978",0,1,0,0,0,0
"ENSG00000239870",0,0,0,1,0,0
"ENSG00000249736",0,0,0,0,3,0
"ENSG00000249238",0,0,0,0,0,1
"ENSG00000250669",0,0,0,1,0,0
"ENSG00000249721",0,0,0,1,0,0
"ENSG00000250421",0,0,0,0,0,1
"ENSG00000249894",0,0,0,2,0,0
"ENSG00000213864",1,1,1,0,0,0
"ENSG00000145675",2425,2357,2127,4227,4429,2448
"ENSG00000251044",0,0,0,0,3,0
"ENSG00000248884",1,0,0,2,0,2
"ENSG00000248359",0,5,2,5,2,0
"ENSG00000249588",13,14,11,8,4,2
"ENSG00000249335",1,0,0,3,0,0
"ENSG00000250066",0,0,0,1,0,0
"ENSG00000249352",1,0,5,7,7,6
"ENSG00000250237",0,0,0,3,2,1
"ENSG00000145740",2375,1997,2261,1771,2641,2379
"ENSG00000248664",4,8,8,11,13,9
"ENSG00000134057",314,298,373,170,560,3164
"ENSG00000280187",50,31,47,51,77,66
"ENSG00000153044",64,55,70,58,105,342
"ENSG00000134056",199,232,274,222,242,255
"ENSG00000134058",905,942,1086,578,883,789
"ENSG00000183323",314,292,311,489,446,353
"ENSG00000213830",3,3,6,15,8,8
"ENSG00000215006",0,0,1,0,0,1
"ENSG00000271045",0,3,0,0,2,2
"ENSG00000085231",436,358,385,360,484,713
"ENSG00000273841",1015,891,1022,784,1185,1496
"ENSG00000152942",1135,1069,1120,1026,1439,1423
"ENSG00000152939",133,146,146,77,114,83
"ENSG00000197822",32,39,51,10,54,34
"ENSG00000183474",322,276,348,448,358,371
"ENSG00000248477",1,0,3,4,0,2
"ENSG00000250138",35,58,49,57,43,35
"ENSG00000253203",24,29,42,34,92,53
"ENSG00000198237",11,9,8,1,11,6
"ENSG00000251158",2,0,0,0,0,0
"ENSG00000205572",6,14,9,7,30,23
"ENSG00000205571",2,1,2,2,196,80
"ENSG00000179978",23,16,25,31,66,56
"ENSG00000253492",0,3,0,3,2,4
"ENSG00000254701",62,69,123,95,150,63
"ENSG00000253816",42,50,51,78,78,48
"ENSG00000226259",74,72,93,157,76,85
"ENSG00000269983",7,6,10,17,0,0
"ENSG00000250687",1,0,0,1,0,0
"ENSG00000253333",1,0,0,0,0,0
"ENSG00000196302",0,1,0,1,5,3
"ENSG00000253366",1,2,1,2,8,2
"ENSG00000288349",7,14,1,4,15,14
"ENSG00000172058",0,0,1,0,2,0
"ENSG00000172062",188,180,171,185,215,220
"ENSG00000249437",8,18,9,18,34,24
"ENSG00000145736",201,184,231,294,148,184
"ENSG00000230847",15,16,15,48,35,22
"ENSG00000251634",12,21,14,33,38,49
"ENSG00000253900",0,0,1,0,0,1
"ENSG00000215630",29,51,32,45,57,80
"ENSG00000235558",4,5,5,6,17,16
"ENSG00000145734",3030,2948,2650,3093,3787,4160
"ENSG00000253536",3,0,4,14,6,11
"ENSG00000247911",6,9,6,8,6,9
"ENSG00000131844",556,549,531,895,1000,777
"ENSG00000285804",36,30,30,28,28,41
"ENSG00000131711",32607,33693,28734,17426,11657,20110
"ENSG00000264099",13,11,8,14,3,0
"ENSG00000113048",1254,1274,1456,1430,1951,1779
"ENSG00000244748",1,0,0,11,5,5
"ENSG00000049883",487,465,434,438,462,443
"ENSG00000244061",0,1,0,2,0,0
"ENSG00000251108",0,1,1,0,0,0
"ENSG00000178175",1,3,2,1,1,4
"ENSG00000248371",3,2,2,1,2,1
"ENSG00000251613",2,4,2,3,2,5
"ENSG00000226544",1,0,5,0,1,1
"ENSG00000223497",0,0,0,1,2,1
"ENSG00000249085",0,1,0,2,3,1
"ENSG00000083312",16326,14601,15278,10142,11835,13440
"ENSG00000263593",7,0,3,11,6,5
"ENSG00000242602",63,82,65,72,67,87
"ENSG00000271926",0,4,2,4,0,7
"ENSG00000272081",4,1,1,6,12,8
"ENSG00000157107",1466,1424,1198,1527,1839,1566
"ENSG00000251467",12,13,18,15,7,10
"ENSG00000248930",15,6,15,17,17,7
"ENSG00000157111",136,112,173,71,92,110
"ENSG00000251599",0,0,0,1,6,0
"ENSG00000250747",0,0,1,0,0,0
"ENSG00000164325",1,3,0,2,2,3
"ENSG00000287090",10,17,11,28,24,19
"ENSG00000249743",0,2,4,2,1,5
"ENSG00000251543",2,0,0,2,0,3
"ENSG00000249149",0,0,0,2,0,2
"ENSG00000251493",89,115,107,94,98,107
"ENSG00000251604",3,1,0,1,1,0
"ENSG00000251324",0,0,2,0,0,3
"ENSG00000272525",5,1,5,6,5,3
"ENSG00000145741",4453,3984,4784,4318,5910,4943
"ENSG00000255883",2,0,1,4,3,3
"ENSG00000164331",452,491,510,426,564,394
"ENSG00000164338",549,489,501,618,663,964
"ENSG00000214944",3340,3387,3317,2696,2419,2055
"ENSG00000249293",18,7,20,12,4,8
"ENSG00000184084",8,15,15,12,4,8
"ENSG00000238913",3,3,1,3,4,2
"ENSG00000259968",0,0,0,1,2,0
"ENSG00000248673",1,0,0,0,0,0
"ENSG00000171617",376,437,462,481,561,1105
"ENSG00000049860",9374,8314,10339,8438,13471,8084
"ENSG00000164347",926,807,926,793,881,955
"ENSG00000207336",6,2,3,5,8,5
"ENSG00000164346",1338,1227,1262,1386,1905,1684
"ENSG00000198780",17,13,16,12,31,37
"ENSG00000271714",1,0,0,0,1,0
"ENSG00000249856",0,2,0,4,0,0
"ENSG00000182383",0,0,0,2,0,1
"ENSG00000249157",0,0,0,0,1,1
"ENSG00000176928",287,283,287,823,332,499
"ENSG00000145700",25,36,27,48,73,49
"ENSG00000251663",1,0,0,0,0,0
"ENSG00000113161",1362,1243,1474,1145,1822,2032
"ENSG00000113163",2355,2143,2011,2475,2178,1932
"ENSG00000271815",7,5,4,5,3,7
"ENSG00000122008",1886,1685,1473,1828,1688,1753
"ENSG00000251724",0,1,1,5,6,3
"ENSG00000272040",27,31,20,44,14,24
"ENSG00000189045",71,72,43,35,22,55
"ENSG00000152359",214,189,169,248,273,275
"ENSG00000207333",0,0,1,1,1,2
"ENSG00000122012",0,0,0,0,0,2
"ENSG00000254893",25,25,57,6,11,17
"ENSG00000249014",1,0,2,1,1,4
"ENSG00000145703",15,9,18,36,25,45
"ENSG00000249713",0,3,0,0,0,1
"ENSG00000164220",17,13,17,84,11,62
"ENSG00000225407",5,0,0,6,0,2
"ENSG00000181104",1315,1118,1203,1697,818,1218
"ENSG00000164251",63,53,55,11,50,20
"ENSG00000264391",0,2,0,0,0,0
"ENSG00000171643",0,0,0,0,3,0
"ENSG00000145708",0,0,0,0,3,3
"ENSG00000164252",504,462,543,465,686,585
"ENSG00000285000",0,0,1,4,1,1
"ENSG00000132846",40,48,44,143,65,86
"ENSG00000238961",2,0,2,4,8,1
"ENSG00000250802",31,43,36,92,65,77
"ENSG00000113231",137,131,104,64,75,84
"ENSG00000251400",6,3,6,4,1,2
"ENSG00000164253",3176,2845,3141,2105,2204,2357
"ENSG00000244363",8,7,13,11,8,8
"ENSG00000171540",0,0,0,1,0,0
"ENSG00000171530",1515,1397,1588,1001,1621,1618
"ENSG00000132842",2608,2520,2601,2901,3387,3593
"ENSG00000253558",10,16,9,26,16,30
"ENSG00000249372",3,8,0,5,3,12
"ENSG00000245556",78,82,87,140,167,137
"ENSG00000085365",3882,3460,3670,2521,3565,3023
"ENSG00000145685",5888,5396,5944,5352,6252,5553
"ENSG00000248909",30,41,25,77,58,72
"ENSG00000254170",4,1,3,2,0,2
"ENSG00000254310",3,2,3,1,0,3
"ENSG00000113273",7477,7511,8230,3985,2858,4477
"ENSG00000132837",216,247,227,197,196,147
"ENSG00000214890",0,0,2,0,0,0
"ENSG00000132840",820,776,939,483,385,395
"ENSG00000145692",34,46,29,46,14,17
"ENSG00000201955",0,0,0,7,1,0
"ENSG00000249829",1,0,1,6,0,3
"ENSG00000206592",1,2,0,2,5,3
"ENSG00000250330",0,2,5,6,1,3
"ENSG00000152409",1751,1659,1411,2095,1448,1409
"ENSG00000213757",9,9,6,15,7,3
"ENSG00000152413",852,691,681,1086,1212,1132
"ENSG00000213755",6,10,15,26,67,30
"ENSG00000277818",0,1,0,0,0,0
"ENSG00000164329",1837,1618,1671,2198,2401,2092
"ENSG00000164309",340,357,273,503,585,302
"ENSG00000250258",0,1,0,2,1,4
"ENSG00000250888",0,1,0,0,0,0
"ENSG00000177034",1205,1191,1167,1283,1311,1492
"ENSG00000113296",23,18,29,90,45,36
